Year,Month,Day,Max (F),Min (F),Max (C),Min (C),year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1850.0,10.0,1.0,59.0,39.1,15.0,3.9,,,,,,,,,,,,
1850.0,10.0,2.0,55.4,43.6,13.0,6.4,,,,,,,,,,,,
1850.0,10.0,3.0,57.2,45.3,14.0,7.4,,,,,,,,,,,,
1850.0,10.0,4.0,55.5,39.5,13.1,4.2,,,,,,,,,,,,
1850.0,10.0,5.0,54.4,40.2,12.4,4.6,,,,,,,,,,,,
1850.0,10.0,6.0,55.5,46.2,13.1,7.9,,,,,,,,,,,,
1850.0,10.0,7.0,53.8,45.8,12.1,7.7,,,,,,,,,,,,
1850.0,10.0,8.0,53.6,48.3,12.0,9.1,,,,,,,,,,,,
1850.0,10.0,9.0,51.0,49.1,10.6,9.5,,,,,,,,,,,,
1850.0,10.0,10.0,58.6,41.3,14.8,5.2,,,,,,,,,,,,
1850.0,10.0,11.0,52.3,33.6,11.3,0.9,,,,,,,,,,,,
1850.0,10.0,12.0,51.0,43.6,10.6,6.4,,,,,,,,,,,,
1850.0,10.0,13.0,53.7,47.2,12.1,8.4,,,,,,,,,,,,
1850.0,10.0,14.0,54.7,35.9,12.6,2.2,,,,,,,,,,,,
1850.0,10.0,15.0,53.0,42.6,11.7,5.9,,,,,,,,,,,,
1850.0,10.0,16.0,56.4,49.6,13.6,9.8,,,,,,,,,,,,
1850.0,10.0,17.0,59.3,48.6,15.2,9.2,,,,,,,,,,,,
1850.0,10.0,18.0,59.0,51.0,15.0,10.6,,,,,,,,,,,,
1850.0,10.0,19.0,56.6,45.3,13.7,7.4,,,,,,,,,,,,
1850.0,10.0,20.0,52.7,40.0,11.5,4.4,,,,,,,,,,,,
1850.0,10.0,21.0,51.7,31.7,10.9,-0.2,,,,,,,,,,,,
1850.0,10.0,22.0,52.6,41.0,11.4,5.0,,,,,,,,,,,,
1850.0,10.0,23.0,48.2,40.6,9.0,4.8,,,,,,,,,,,,
1850.0,10.0,24.0,48.3,35.6,9.1,2.0,,,,,,,,,,,,
1850.0,10.0,25.0,48.3,37.6,9.1,3.1,,,,,,,,,,,,
1850.0,10.0,26.0,50.0,42.6,10.0,5.9,,,,,,,,,,,,
1850.0,10.0,27.0,51.5,39.6,10.8,4.2,,,,,,,,,,,,
1850.0,10.0,28.0,47.2,38.5,8.4,3.6,,,,,,,,,,,,
1850.0,10.0,29.0,54.0,42.4,12.2,5.8,,,,,,,,,,,,
1850.0,10.0,30.0,56.5,49.5,13.6,9.7,,,,,,,,,,,,
1850.0,10.0,31.0,56.8,51.3,13.8,10.7,,,,,,,,,,,,
1850.0,11.0,11.0,56.7,46.5,13.7,8.1,,,,,,,,,,,,
1850.0,11.0,12.0,52.3,42.2,11.3,5.7,,,,,,,,,,,,
1850.0,11.0,13.0,50.0,43.0,10.0,6.1,,,,,,,,,,,,
1850.0,11.0,14.0,51.0,43.6,10.6,6.4,,,,,,,,,,,,
1850.0,11.0,15.0,52.4,43.3,11.3,6.3,,,,,,,,,,,,
1850.0,11.0,16.0,50.3,41.1,10.2,5.1,,,,,,,,,,,,
1850.0,11.0,17.0,49.0,35.9,9.4,2.2,,,,,,,,,,,,
1850.0,11.0,18.0,54.4,40.2,12.4,4.6,,,,,,,,,,,,
1850.0,11.0,19.0,50.8,45.5,10.4,7.5,,,,,,,,,,,,
1850.0,11.0,20.0,50.2,39.6,10.1,4.2,,,,,,,,,,,,
1850.0,11.0,21.0,50.2,40.9,10.1,4.9,,,,,,,,,,,,
1850.0,11.0,22.0,54.0,42.5,12.2,5.8,,,,,,,,,,,,
1850.0,11.0,23.0,51.4,41.2,10.8,5.1,,,,,,,,,,,,
1850.0,11.0,24.0,50.8,42.6,10.4,5.9,,,,,,,,,,,,
1850.0,11.0,25.0,48.6,40.1,9.2,4.5,,,,,,,,,,,,
1850.0,11.0,26.0,54.7,34.1,12.6,1.2,,,,,,,,,,,,
1850.0,11.0,27.0,42.3,24.5,5.7,-4.2,,,,,,,,,,,,
1850.0,11.0,28.0,40.2,31.4,4.6,-0.3,,,,,,,,,,,,
1850.0,11.0,29.0,44.3,35.7,6.8,2.1,,,,,,,,,,,,
1850.0,11.0,30.0,44.5,32.4,6.9,0.2,,,,,,,,,,,,
1850.0,12.0,1.0,51.8,37.5,11.0,3.1,,,,,,,,,,,,
1850.0,12.0,2.0,56.3,48.2,13.5,9.0,,,,,,,,,,,,
1850.0,12.0,3.0,54.3,40.5,12.4,4.7,,,,,,,,,,,,
1850.0,12.0,4.0,55.9,41.9,13.3,5.5,,,,,,,,,,,,
1850.0,12.0,5.0,60.2,42.8,15.7,6.0,,,,,,,,,,,,
1850.0,12.0,6.0,50.5,45.3,10.3,7.4,,,,,,,,,,,,
1850.0,12.0,7.0,50.0,40.5,10.0,4.7,,,,,,,,,,,,
1850.0,12.0,8.0,49.3,42.7,9.6,5.9,,,,,,,,,,,,
1850.0,12.0,9.0,48.5,40.8,9.2,4.9,,,,,,,,,,,,
1850.0,12.0,10.0,52.3,45.1,11.3,7.3,,,,,,,,,,,,
1850.0,12.0,11.0,52.0,38.6,11.1,3.7,,,,,,,,,,,,
