Dome C (611-800 kyr BP),,,,,,,
Lüthi et al. (sub),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
University of Bern,,,,LGGE in Grenoble,,,
Depth (m),EDC3_gas_a (yr),CO2 (ppmv),sigma (ppmv),Depth (m),EDC3_gas_a (yr),CO2 (ppmv),
3026.58,611269,257.8,2.1,3061.71,667435,178.5,
3030.97,616164,252.6,0.6,3063.98,670124,189.0,
3036.44,623109,243.3,2.8,3085.78,688035,234.0,
3040.87,630183,204.4,0.9,3086.88,688751,235.4,
3043.07,635364,195.0,1.5,3087.98,689444,241.0,
3055.18,658404,187.5,1.8,3089.08,690155,235.0,
3056.25,659983,185.6,1.1,3091.28,691524,235.9,
3057.36,661563,192.1,1.0,3093.48,692857,236.3,
3058.47,663133,192.0,2.1,3120.01,715603,223.8,
3059.55,664597,190.6,1.3,3122.20,718581,190.2,
3060.33,665645,178.2,1.1,3124.41,721870,217.0,
3060.73,666174,178.5,1.1,3128.68,727458,203.7,
3061.36,666995,172.7,1.0,3133.08,732300,210.7,
3061.82,667569,171.6,1.4,3135.28,734408,209.6,
3062.53,668447,175.6,0.7,3141.82,739986,198.0,
3062.93,668934,178.5,0.7,3146.37,744681,185.2,
3063.64,669751,185.5,0.2,3150.68,749152,188.8,
3064.02,670176,189.3,0.9,3152.88,751552,193.8,
3064.76,670916,192.6,1.0,3155.08,754124,197.3,
3065.12,671286,194.6,0.7,3156.18,755354,203.4,
3065.76,671926,192.5,0.6,3157.28,756605,214.4,
3066.22,672386,194.8,1.0,3158.38,757805,225.5,
3066.93,673095,198.7,1.0,3159.48,759027,216.6,
3067.33,673475,202.3,0.7,3160.58,760338,214.9,
3068.07,674173,209.2,0.6,3161.68,761745,213.0,
3068.42,674521,213.7,0.8,3162.78,763158,221.3,
3069.52,675589,220.0,0.8,3163.88,764529,226.5,
3070.16,676170,217.4,0.6,3164.98,765917,216.1,
3070.62,676524,214.0,0.9,3167.18,768940,227.5,
3071.33,677068,215.6,1.4,3168.28,770434,233.9,
3071.72,677380,217.4,1.5,3169.38,771888,226.9,
3072.44,677984,226.5,0.8,3170.48,773353,238.6,
3072.80,678291,230.0,0.9,3171.58,774854,240.1,
3073.53,678914,230.8,0.6,3172.68,776322,245.9,
3073.93,679252,230.3,1.2,3173.78,777719,246.7,
3074.56,679732,223.0,1.2,3174.88,779076,243.8,
3075.02,680081,225.0,1.3,3177.08,781771,251.2,
3075.73,680608,218.4,0.9,3178.18,783110,252.5,
3076.13,680920,216.2,1.0,3179.28,784409,248.4,
3076.85,681531,217.3,1.7,3180.38,785654,255.3,
3077.23,681849,219.7,0.6,3181.48,786819,256.6,
