Station Name: MARKREE
Station Height: 34 M 
Latitude:54.175  ,Longitude: -8.456


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
meant: -  Mean Air Temperature (C)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)	
mnmax: -  Mean Maximum Temperature (C)
mnmin: -  Mean Minimum Temperature (C)
gmin:  -  Grass Minimum Temperature (C)
wdsp:  -  Mean Wind Speed (knot)
mxgt:  -  Highest Gust (knot)
sun:   -  Sunshine duration (hours)
ind:   -  Indicator

year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
2005,6,14.0,22.5,2.5,17.8,10.3,60.5,2.7, , , 
2005,7,14.9,26.0,3.3,18.5,11.2,48.9,5.9, , , 
2005,8,14.6,22.9,3.2,18.5,10.8,82.9,5.3, , , 
2005,9,13.2,23.0,2.0,17.1,9.2,94.0,-0.3, , , 
2005,10,11.1,18.3,-1.1,14.5,7.7,71.7,-3.5, , , 
2005,11,6.2,15.3,-3.1,9.8,2.5,111.4,-2.1, , , 
2005,12,5.8,12.4,-4.2,8.7,2.9,116.4,-2.5, , , 
2006,1,5.1,12.2,-6.2,8.2,2.0,60.6,-5.8, , , 
2006,2,4.9,12.9,-3.9,8.3,1.5,48.5,-3.1, , , 
2006,3,5.0,14.1,-8.2,8.5,1.5,121.9,-4.8, , , 
2006,4,7.3,13.6,-4.4,11.3,3.4,62.0,-2.6, , , 
2006,5,10.4,22.8,0.2,14.6,6.1,118.3,-0.7, , , 
2006,6,13.7,24.9,3.5,18.7,8.7,36.7,1.7, , , 
2006,7,16.3,29.6,4.2,21.2,11.3,53.5,2.0, , , 
2006,8,14.4,23.9,3.5,17.5,11.2,84.3,2.3, , , 
2006,9,14.0,21.0,1.2,18.1,9.9,113.4,0.6, , , 
2006,10,11.1,18.4,1.8,14.9,7.4,108.3,0.8, , , 
2006,11,6.9,13.6,-4.1,10.6,3.2,121.1, , , , 
2006,12,6.1,12.8,-1.3,8.7,3.6,159.1,-3.1, , , 
2007,1,6.4,13.3,-4.5,9.4,3.5,150.8,-8.2, , , 
2007,2,4.9,12.4,-8.2,8.7,1.2,69.9,-11.0, , , 
2007,3,6.2,15.4,-2.5,10.6,1.7,89.6,-5.8, , , 
2007,4,9.4,19.6,-2.1,15.2,3.6,22.0,-4.7, , , 
2007,5,10.1,20.8,-1.4,14.9,5.3,84.5,-3.6, , , 
2007,6,13.7,25.4,3.5,18.1,9.4,73.3,0.8, , , 
2007,7,13.6,21.4,4.0,17.6,9.5,165.1,2.2, , , 
2007,8,14.1,20.8,7.8,17.2,11.1,101.6,5.6, , , 
2007,9,12.3,19.2,-0.9,16.3,8.3,94.0,1.6,0.1, , 
2007,10,11.1,18.2,-0.3,15.0,7.3,67.7,-3.3, , , 
2007,11,8.9,16.3,-2.7,11.5,6.4,75.8,-5.6, , , 
2007,12,6.0,13.9,-4.0,9.2,2.9,147.0,-8.1, , , 
2008,1,5.6,13.7,-6.5,8.8,2.3,157.3,-10.5, , , 
2008,2,5.6,13.7,-5.3,9.3,1.9,84.6,-8.9, , , 
2008,3,5.7,12.3,-3.9,9.7,1.8,137.4,-9.4, , , 
2008,4,7.4,19.2,-1.7,11.8,3.1,61.4,-6.3, , , 
2008,5,12.6,22.9,0.2,17.9,7.3,35.4,-3.0, , , 
2008,6,12.4,23.6,1.8,16.7,8.1,119.6, , , , 
2008,7,14.8,24.0,3.9,18.5,11.0,82.2,1.0, , , 
2008,8,14.6,21.3,7.1,17.8,11.4,162.8,3.4, , , 
2008,9,11.5,19.1,0.1,15.8,7.1,118.3,-2.5, , , 
2008,10,8.6,16.2,-0.8,12.6,4.6,164.9,-5.5, , , 
2008,11,7.5,13.6,-2.5,10.1,4.8,122.1,-7.3, , , 
2008,12,4.5,12.4,-5.6,7.8,1.2,106.1,-10.6, , , 
2009,1,3.8,12.3,-7.4,6.9,0.6,152.2,-12.0, , , 
2009,2,5.2,12.1,-3.4,8.5,1.9,29.1,-8.2, , , 
2009,3,6.7,16.3,-1.5,10.7,2.7,75.3,-6.6, , , 
2009,4,8.7,17.5,-1.0,12.9,4.5,111.5,-4.4, , , 
2009,5,10.3,23.6,-0.6,14.6,6.0,122.7,-2.9, , , 
2009,6,13.7,25.8,3.2,18.6,8.9,54.6,-1.4, , , 
2009,7,14.4,22.0,4.4,18.0,10.8,154.1,1.9, , , 
2009,8,14.2,20.7,6.0,17.7,10.7,148.5,4.3, , , 
2009,9,12.2,19.9,1.1,16.4,8.1,51.9,1.9, , , 
2009,10,10.9,16.8,1.3,14.2,7.7,90.4,3.4, , , 
2009,11,6.8,13.4,-2.5,9.8,3.8,274.8,-3.1, , , 
2009,12,2.2,11.0,-10.2,5.6,-1.2,70.7,-11.3, , , 
2010,1,1.5,10.5,-11.5,5.0,-2.0,65.1,-12.6, , , 
2010,2,2.0,9.9,-7.3,6.1,-2.2,40.7,-9.6, , , 
2010,3,4.8,13.5,-7.3,9.6,-0.0,60.7,-10.1, , , 
2010,4,8.4,18.5,-3.6,13.6,3.3,59.9,-7.2, , , 
2010,5,10.1,23.9,-2.1,15.0,5.1,33.6,-6.1, , , 
2010,6,13.7,24.8,4.1,18.8,8.5,28.6,3.0, , , 
2010,7,14.7,21.9,4.6,18.1,11.3,172.0,2.7, , , 
2010,8,12.7,22.4,0.8,17.2,8.2,95.8,2.8, , , 
2010,9,13.3,22.0,2.7,17.0,9.7,117.7,3.5, , , 
2010,10,9.0,18.6,-3.2,13.8,4.1,78.0,-5.3, , , 
2010,11,4.4,15.0,-7.2,8.2,0.5,149.6,-7.2, , , 
2010,12,-1.2,11.1,-17.3,3.1,-5.6,60.3,-9.3, , , 
2011,1,2.7,12.2,-8.4,6.3,-0.9,74.2,-11.4, , , 
2011,2,6.0,13.6,-3.6,9.7,2.4,120.3,-7.0, , , 
2011,3,6.2,16.9,-5.0,11.0,1.4,43.7,-9.6, , , 
2011,4,10.6,20.6,-0.7,15.7,5.6,60.9,-2.2, , , 
2011,5,10.9,18.6,4.0,14.1,7.7,114.3,1.0, , , 
2011,6,11.1,22.5,1.6,15.5,6.7,73.7,-1.2, , , 
2011,7,13.5,22.1,5.5,17.5,9.6,67.0,1.9, , , 
2011,8,12.9,19.8,3.1,16.9,8.9,108.5,1.6, , , 
2011,9,13.1,20.9,3.4,16.3,9.9,132.6,0.7, , , 
2011,10,10.9,17.2,2.6,13.8,8.0,193.7,-1.0, , , 
2011,11,8.9,16.0,-1.9,12.2,5.6,138.6,-3.6, , , 
2011,12,5.9,13.0,-3.5,8.6,3.2,168.1,-6.7, , , 
2012,1,6.2,12.4,-1.3,9.0,3.4,114.0,-3.5, , , 
2012,2,7.4,13.5,-4.6,9.6,5.2,77.1,-8.4, , , 
2012,3,8.0,19.7,-2.1,12.4,3.6,28.5,-4.6, , , 
2012,4,6.5,14.8,-3.2,10.9,2.1,81.5,-5.9, , , 
2012,5,10.8,26.6,-1.2,15.4,6.2,68.5,-2.1, , , 
2012,6,12.4,20.2,2.4,15.6,9.2,184.1,1.9, , , 
2012,7,13.4,20.9,4.3,17.0,9.7,119.4,1.8, , , 
2012,8,15.5,25.5,8.0,19.4,11.6,129.3,5.0, , , 
2012,9,11.8,20.8,-0.4,15.6,8.1,78.3,-1.9, , , 
2012,10,7.5,14.9,-3.1,12.1,2.9,108.0,-8.7, , , 
2012,11,5.4,12.9,-4.5,8.7,2.2,115.4,-8.4, , , 
2012,12,4.7,12.9,-4.5,8.0,1.4,128.7,-9.6, , , 
2013,1,4.9,12.7,-2.8,7.7,2.1,142.8,-8.8, , , 
2013,2,4.4,11.5,-7.0,7.8,1.0,72.2,-12.6, , , 
2013,3,3.3,11.2,-7.6,6.8,-0.1,34.7,-13.7, , , 
2013,4,6.4,15.1,-6.0,10.9,1.9,83.1,-6.3, , , 
2013,5,9.5,18.7,1.5,12.7,6.3,120.2,-1.3, , , 
2013,6,13.0,23.4,4.0,17.6,8.4,75.0,1.0, , , 
2013,7,16.9,28.6,7.3,21.7,12.0,68.9,4.1, , , 
2013,8,14.8,20.9,6.3,18.2,11.5,65.8,3.2, , , 
2013,9,13.2,22.2,2.4,16.8,9.7,94.3,-0.2, , , 
2013,10,10.9,20.2,-1.3,14.7,7.1,114.7,-3.6, , , 
2013,11,6.0,13.4,-2.8,9.7,2.3,68.0,-6.2, , , 
2013,12,6.5,14.5,-1.3,9.3,3.6,191.1,-5.6, , , 
2014,1,4.8,11.8,-2.9,7.9,1.6,194.9,-7.7, , , 
2014,2,5.1,10.9,-1.5,8.0,2.3,196.6,-6.2, , , 
2014,3,6.5,14.5,-2.8,10.1,2.8,91.4,-6.6, , , 
2014,4,9.8,18.9,0.4,14.3,5.4,27.7,-2.2, , , 
2014,5,11.4,19.7,4.7,15.0,7.9,92.5,1.7, , , 
2014,6,13.5,22.3,2.7,17.9,9.1,48.0,-0.9, , , 
2014,7,15.4,27.3,5.2,19.5,11.3,67.7,2.1, , , 
2014,8,13.1,21.8,1.7,16.8,9.5,123.1,0.2, , , 
2014,9,12.9,22.1,0.8,18.2,7.5,10.3,-1.6, , , 
2014,10,10.2,17.2,0.3,14.2,6.2,115.6,-2.7, , , 
2014,11,6.5,13.4,-2.6,10.3,2.7,144.8,-7.6, , , 
2014,12,5.5,12.5,-6.2,8.1,2.8,150.0,-10.5, , , 
2015,1,4.7,13.7,-4.4,7.9,1.6,203.5,-9.9, , , 
2015,2,4.5,11.7,-4.5,7.8,1.3,94.6,-9.3, , , 
2015,3,5.5,13.7,-4.0,9.7,1.4,119.3,-9.7, , , 
2015,4,7.4,19.5,-3.4,13.5,1.3,73.7,-7.3, , , 
2015,5,9.2,16.8,-0.8,12.7,5.8,139.0, , , , 
2015,6,11.9,22.5,0.9,15.9,7.8,50.7,-1.5, , , 
2015,7,13.0,21.9,4.8,16.6,9.4,111.2,2.8, , , 
2015,8,13.3,21.4,3.8,17.0,9.7,93.5,1.5, , , 
2015,9,11.6,19.5,1.4,15.6,7.7,65.4,-0.7, , , 
2015,10,9.4,17.6,-2.0,14.1,4.7,75.3,-4.1, , , 
2015,11,7.9,16.4,-0.9,11.4,4.5,228.3,-3.8, , , 
2015,12,7.1,14.8,-3.1,10.5,3.7,298.3,-6.1, , , 
2016,1,5.3,14.1,-2.2,8.2,2.3,176.6,-6.8, , , 
2016,2,4.5,11.9,-4.5,8.1,0.8,134.2,-9.9, ,4, 
2016,3,6.2,15.1,-3.8,10.1,2.3,101.1,-7.8, ,6, 
2016,4,6.4,17.8,-3.3,10.7,2.0,82.6,-7.6, ,10, 
2016,5,11.1,23.7,-1.4,16.0,6.1,66.5,-3.5, ,8, 
2016,6,14.3,24.0,3.1,18.1,10.5,113.1,-0.7, ,8, 
2016,7,14.4,28.0,6.7,17.8,10.9,110.8,3.9, ,8, 
2016,8,15.0,24.2,5.6,18.5,11.5,98.6,2.6, ,7, 
2016,9,13.0,21.3,1.3,16.9,9.1,100.0,-1.2, ,7, 
2016,10,9.7,16.4,-2.5,13.8,5.6,29.6,-5.1, ,4, 
2016,11,5.3,14.9,-7.3,9.1,1.5,98.8,-9.6, ,3, 
2016,12,6.1,14.5,-4.5,9.4,2.8,90.5,-7.0, ,2, 
2017,1,5.9,11.9,-5.5,8.8,3.0,51.2,-8.7, ,3, 
2017,2,5.8,12.9,-3.5,9.2,2.5,87.7,-6.6, ,4, 
2017,3,7.4,17.3,-3.3,11.5,3.3,102.5,-7.2, ,5, 
2017,4,8.7,17.2,0.9,12.0,5.4,30.8,-2.1, ,7, 
2017,5,11.8,25.0,-0.4,17.5,6.0,69.4,-2.6, , , 
2017,6,13.6,23.2,3.8,17.0,10.1,83.6,0.2, , , 
2017,7,13.9,25.1,3.0,18.1,9.7,101.1,1.3, , , 
2017,8,13.8,19.9,5.2,17.6,9.9,134.4,3.0, , , 
2017,9,11.9,21.4,1.6,15.7,8.1,171.4,-1.4, ,6, 
2017,10,11.0,16.9,0.6,14.2,7.8,102.8,-1.9, ,5, 
2017,12,5.7,13.5,-4.6,8.7,2.7,142.6,-9.4, , , 
2018,1,4.6,12.8,-5.5,7.6,1.6,196.0,-11.2, , , 
2018,2,3.6,12.0,-5.0,7.0,0.2,109.7,-11.5, , , 
2018,3,4.4,12.8,-6.9,8.2,0.6,58.7,-13.2, , , 
2018,4,8.1,18.3,-4.6,12.2,3.9,80.1,-10.7, , , 
2018,5,12.0,25.7,-0.9,17.2,6.8,57.5,-4.6, , , 
2018,6,14.7,29.9,2.4,19.9,9.4,39.6,0.2, , , 
2018,7,15.0,25.1,5.1,19.7,10.3,71.2,1.5, , , 
2018,8,14.0,22.5,2.3,17.6,10.4,124.1,-0.9, , , 
2018,9,11.2,19.5,-0.8,15.2,7.1,67.5,-2.8, , , 
