Station Name: SLIGO AIRPORT
Station Height: 14 M 
Latitude:54.279  ,Longitude: -8.599


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-jul-1988,0,0.900, , , , , , 
02-jul-1988,0,7.900, , , , , , 
03-jul-1988,0,1.200, , , , , , 
04-jul-1988,0,0.100, , , , , , 
05-jul-1988,0,9.500, , , , , , 
06-jul-1988,0,15.000, , , , , , 
07-jul-1988,0,6.600, , , , , , 
08-jul-1988,0,3.400, , , , , , 
09-jul-1988,0,7.100, , , , , , 
10-jul-1988,0,1.600, , , , , , 
11-jul-1988,0,1.000, , , , , , 
12-jul-1988,0,1.800, , , , , , 
13-jul-1988,0,0.100, , , , , , 
14-jul-1988,0,0.200, , , , , , 
15-jul-1988,0,0.100, , , , , , 
16-jul-1988,0,2.500, , , , , , 
17-jul-1988,0,0.500, , , , , , 
18-jul-1988,4,0.000, , , , , , 
19-jul-1988,0,0.000, , , , , , 
20-jul-1988,0,2.100, , , , , , 
21-jul-1988,0,1.100, , , , , , 
22-jul-1988,0,2.400, , , , , , 
23-jul-1988,0,4.700, , , , , , 
24-jul-1988,0,8.100, , , , , , 
25-jul-1988,0,5.600, , , , , , 
26-jul-1988,0,0.900, , , , , , 
27-jul-1988,0,2.000, , , , , , 
28-jul-1988,0,1.800, , , , , , 
29-jul-1988,0,4.000, , , , , , 
30-jul-1988,0,2.000, , , , , , 
31-jul-1988,0,0.100, , , , , , 
01-aug-1988,0,0.000, , , , , , 
02-aug-1988,0,0.600, , , , , , 
03-aug-1988,0,0.800, , , , , , 
04-aug-1988,0,0.500, , , , , , 
05-aug-1988,0,1.800, , , , , , 
06-aug-1988,0,1.900, , , , , , 
07-aug-1988,0,0.900, , , , , , 
08-aug-1988,0,14.000, , , , , , 
09-aug-1988,0,4.400, , , , , , 
10-aug-1988,0,0.500, , , , , , 
11-aug-1988,0,7.600, , , , , , 
12-aug-1988,0,0.300, , , , , , 
13-aug-1988,0,4.300, , , , , , 
14-aug-1988,0,1.300, , , , , , 
15-aug-1988,0,0.000, , , , , , 
16-aug-1988,0,1.200, , , , , , 
17-aug-1988,0,0.800, , , , , , 
18-aug-1988,0,4.300, , , , , , 
19-aug-1988,0,3.200, , , , , , 
20-aug-1988,0,0.100, , , , , , 
21-aug-1988,0,0.000, , , , , , 
22-aug-1988,0,1.400, , , , , , 
23-aug-1988,0,4.500, , , , , , 
24-aug-1988,0,1.300, , , , , , 
25-aug-1988,0,0.000, , , , , , 
26-aug-1988,0,5.000, , , , , , 
27-aug-1988,0,0.200, , , , , , 
28-aug-1988,0,1.000, , , , , , 
29-aug-1988,0,6.900, , , , , , 
30-aug-1988,0,4.800, , , , , , 
31-aug-1988,0,16.000, , , , , , 
01-sep-1988,0,26.700, , , , , , 
02-sep-1988,0,0.500, , , , , , 
03-sep-1988,0,1.600, , , , , , 
04-sep-1988,0,11.800, , , , , , 
05-sep-1988,0,15.500, , , , , , 
06-sep-1988,0,7.200, , , , , , 
07-sep-1988,0,1.400, , , , , , 
08-sep-1988,0,0.100, , , , , , 
09-sep-1988,0,0.000, , , , , , 
10-sep-1988,0,3.500, , , , , , 
11-sep-1988,0,2.500, , , , , , 
12-sep-1988,0,1.300, , , , , , 
13-sep-1988,0,0.100, , , , , , 
14-sep-1988,0,0.100, , , , , , 
15-sep-1988,0,0.000, , , , , , 
16-sep-1988,0,0.000, , , , , , 
17-sep-1988,0,0.000, , , , , , 
18-sep-1988,0,0.000, , , , , , 
19-sep-1988,0,0.000, , , , , , 
20-sep-1988,0,0.000, , , , , , 
21-sep-1988,0,0.000, , , , , , 
22-sep-1988,0,8.000, , , , , , 
23-sep-1988,0,6.200, , , , , , 
24-sep-1988,0,2.700, , , , , , 
25-sep-1988,0,2.100, , , , , , 
26-sep-1988,0,1.100, , , , , , 
27-sep-1988,0,2.000, , , , , , 
28-sep-1988,0,10.100, , , , , , 
29-sep-1988,0,1.600, , , , , , 
30-sep-1988,0,0.000, , , , , , 
01-oct-1988,0,0.000, , , , , , 
02-oct-1988,0,9.400, , , , , , 
03-oct-1988,0,15.900, , , , , , 
04-oct-1988,0,8.400, , , , , , 
05-oct-1988,0,5.100, , , , , , 
06-oct-1988,0,4.900, , , , , , 
07-oct-1988,0,1.500, , , , , , 
08-oct-1988,0,2.300, , , , , , 
09-oct-1988,0,12.600, , , , , , 
10-oct-1988,0,3.600, , , , , , 
11-oct-1988,0,0.000, , , , , , 
12-oct-1988,0,2.300, , , , , , 
13-oct-1988,0,1.200, , , , , , 
14-oct-1988,0,0.000, , , , , , 
15-oct-1988,0,0.200, , , , , , 
16-oct-1988,0,0.200, , , , , , 
17-oct-1988,0,0.000, , , , , , 
18-oct-1988,0,1.100, , , , , , 
19-oct-1988,0,5.000, , , , , , 
20-oct-1988,0,3.000, , , , , , 
21-oct-1988,0,17.500, , , , , , 
22-oct-1988,0,1.200, , , , , , 
23-oct-1988,0,2.100, , , , , , 
24-oct-1988,0,5.900, , , , , , 
25-oct-1988,0,11.700, , , , , , 
26-oct-1988,0,0.000, , , , , , 
27-oct-1988,0,4.000, , , , , , 
28-oct-1988,0,0.300, , , , , , 
29-oct-1988,0,0.000, , , , , , 
30-oct-1988,0,0.000, , , , , , 
31-oct-1988,0,0.000, , , , , , 
01-nov-1988,0,0.000,0,9.4,0,1.0, , 
02-nov-1988,0,0.700,0,11.4,0,6.5, , 
03-nov-1988,0,0.000,0,11.5,0,5.0, , 
04-nov-1988,0,18.500,0,9.5,0,5.7, , 
05-nov-1988,0,0.000,0,11.4,0,3.8, , 
06-nov-1988,0,0.000,0,10.2,0,7.8, , 
07-nov-1988,0,0.000,0,11.9,0,7.2, , 
08-nov-1988,0,6.400,0,13.0,0,6.8, , 
09-nov-1988,0,1.700,0,13.3,0,6.3, , 
10-nov-1988,0,5.200,0,14.2,0,5.6, , 
11-nov-1988,0,0.800,0,11.7,0,6.3, , 
12-nov-1988,0,1.100,0,10.7,0,7.0, , 
13-nov-1988,4,0.000,0,12.2,0,6.5, , 
14-nov-1988,0,0.000,0,11.5,0,3.5, , 
15-nov-1988,0,0.000,0,12.4,0,5.7, , 
16-nov-1988,0,2.500,0,12.7,0,8.8, , 
17-nov-1988,0,5.500,0,12.5,0,2.5, , 
18-nov-1988,0,0.100,0,11.5,0,4.5, , 
19-nov-1988,0,3.700,0,10.8,0,2.6, , 
20-nov-1988,0,0.000,0,6.7,1,-2.3, , 
21-nov-1988,0,0.200,0,7.0,0,1.2, , 
22-nov-1988,0,1.000,0,7.8,0,0.7, , 
23-nov-1988,0,0.000,0,8.8,1,-1.8, , 
24-nov-1988,0,0.000,0,6.8,1,-1.8, , 
25-nov-1988,0,0.100,0,6.7,1,-1.2, , 
26-nov-1988,0,0.000, , , , , , 
27-nov-1988,0,11.000,0,12.0,0,5.0, , 
28-nov-1988,0,0.800,0,12.2,0,1.4, , 
29-nov-1988,0,1.800,0,11.7,0,5.0, , 
30-nov-1988,0,0.200,0,10.2,0,4.2, , 
01-dec-1988,0,0.000, , , , , , 
02-dec-1988,0,12.000, , , , , , 
03-dec-1988,0,7.400, , , , , , 
04-dec-1988,0,2.200, , , , , , 
05-dec-1988,0,1.200, , , , , , 
06-dec-1988,0,0.100, , , , , , 
07-dec-1988,0,0.000, , , , , , 
08-dec-1988,0,4.400, , , , , , 
09-dec-1988,0,0.500, , , , , , 
10-dec-1988,0,0.600, , , , , , 
11-dec-1988,4,0.000, , , , , , 
12-dec-1988,0,0.000, , , , , , 
13-dec-1988,0,0.000, , , , , , 
14-dec-1988,0,0.000, , , , , , 
15-dec-1988,0,2.100, , , , , , 
16-dec-1988,0,0.200, , , , , , 
17-dec-1988,0,1.100, , , , , , 
18-dec-1988,0,4.600, , , , , , 
19-dec-1988,0,11.400, , , , , , 
20-dec-1988,0,0.900, , , , , , 
21-dec-1988,0,1.000, , , , , , 
22-dec-1988,0,14.000, , , , , , 
23-dec-1988,0,7.200, , , , , , 
24-dec-1988,0,5.600, , , , , , 
25-dec-1988,0,0.000, , , , , , 
26-dec-1988,0,1.700, , , , , , 
27-dec-1988,0,0.800, , , , , , 
28-dec-1988,0,0.100, , , , , , 
29-dec-1988,0,0.000, , , , , , 
30-dec-1988,0,0.000, , , , , , 
31-dec-1988,0,0.000, , , , , , 
01-jan-1989,0,0.000,4, ,4, , , 
02-jan-1989,0,0.000,0,9.2,0,6.7, , 
03-jan-1989,0,7.500,0,11.0,0,5.2, , 
04-jan-1989,0,4.900,0,8.3,0,4.4, , 
05-jan-1989,0,4.600,0,12.5,0,7.5, , 
06-jan-1989,0,0.400,1,11.0,0,9.0, , 
07-jan-1989,0,0.000,0,12.3,0,10.7, , 
08-jan-1989,0,4.400,0,12.2,0,5.8, , 
09-jan-1989,0,0.700,0,8.3,0,2.7, , 
10-jan-1989,0,11.200,0,8.5,0,4.6, , 
11-jan-1989,0,12.300,0,9.8,0,3.8, , 
12-jan-1989,0,4.200,0,10.5,0,0.7, , 
