bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
1,0,-50,-55,nan,218.3,3.105321
2,0.55,-43.55977,-50.51333333,nan,218.3,3.104805
3,1.1,-37.44019,-46.02666667,nan,218.3,3.104404
4,1.65,-31.64156,-41.54,nan,218.3,3.104025
5,2.2,-24.55278,-34.51666667,nan,218.3,3.103453
6,2.75,-17.78422,-27.49333333,nan,218.3,3.102677
7,3.3,-11.01305,-20.47,nan,218.3,3.101557
8,3.85,-3.2703,-12.21333333,nan,218.3,3.099708
9,4.4,5.447842,-3.956666667,nan,218.3,3.096691
10,4.95,13.52999,4.3,nan,218.3,3.092812
11,5.5,22.27284,13.22,nan,218.3,3.087226
12,6.05,30.70987,22.14,nan,218.3,3.080266
13,6.6,38.51757,31.06,-390.9,218.3,3.07229
14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912
15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866
16,8.25,64.43646,57.05,-394.1,217.7,3.027896
17,8.8,73.05573,66.38,-398.7,217,3.011312
18,9.35,81.72349,75.71,-395.9,217.4,2.994881
19,9.9,90.43857,85.04,-395.9,217.4,2.92487
20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806
21,11,109.8195,104.6866667,-391.4,218.2,2.668117
22,11.55,119.2176,114.51,-399.5,216.8,2.660774
23,12.1,129.3916,124.6733333,-402.9,216.3,2.65627
24,12.65,139.9534,134.8366667,-393.9,217.8,2.655582
25,13.2,150.1377,145,-398.6,217,2.659589
26,13.75,160.6797,155.4433333,-389.8,218.4,2.662412
27,14.3,171.2088,165.8866667,-394.5,217.7,2.66669
28,14.85,181.7194,176.33,-400.5,216.7,2.672306
29,15.4,191.8325,186.7333333,-403.6,216.2,2.678883
30,15.95,202.293,197.1366667,-393.1,217.9,2.734536
31,16.5,212.5394,207.54,-410.9,215,2.745716
32,17.05,223.471,218.3533333,-393.6,217.8,2.75664
33,17.6,233.9967,229.1666667,-391.1,218.2,2.768041
34,18.15,244.8395,239.98,-391.9,218.1,2.764792
35,18.7,255.6953,251.3866667,-396.3,217.4,2.687325
36,19.25,266.864,262.7933333,-397,217.3,2.699987
37,19.8,277.9812,274.2,-404.7,216,2.712933
38,20.35,289.4143,286.1633333,-398.2,217.1,2.726437
39,20.9,301.1585,298.1266667,-395.2,217.6,2.724871
40,21.45,312.545,310.09,-403.5,216.2,2.730676
41,22,323.9099,322.2733333,-398.6,217,2.743243
42,22.55,335.5896,334.4566667,-399.7,216.8,2.755527
43,23.1,346.8579,346.64,-396,217.4,2.726245
44,23.65,358.6178,359.39,-400.2,216.7,2.677694
45,24.2,370.9679,372.14,-401.6,216.5,2.686326
46,24.75,382.9111,384.89,-405.4,215.9,2.693056
47,25.3,395.2021,397.84,-399,216.9,2.741105
48,25.85,407.2843,410.79,-396.9,217.3,2.821527
49,26.4,418.6733,423.74,-394.9,217.6,2.821524
50,26.95,430.4257,436.3933333,-406.6,215.7,2.818627
51,27.5,442.5554,449.0466667,-395.2,217.6,2.827304
52,28.05,454.3007,461.7,-395.3,217.5,2.864376
53,28.6,466.2551,474.5333333,-399.5,216.8,2.850119
54,29.15,478.2794,487.3666667,-401,216.6,2.831804
55,29.7,490.3924,500.2,-393.6,217.8,2.783818
56,30.25,503.0865,513.42,-410.4,215,2.649808
