Year:number,Cumulative ice mass loss (Greenland):number,Greenland Cumulative ice mass loss:number,Greenland Lower bound:number,Greenland Upper bound:number,Cumulative ice mass loss (Antarctica):number,Antarctic Cumulative mass loss uncertanty:number,Antarctic Lower bound:number,Antarctic Upper bound:number
1992,-0.125,0.229167,-0.354167,0.104167,,,,
1992.08,-0.25,0.458333,-0.708333,0.208333,,,,
1992.17,-0.375,0.6875,-1.0625,0.3125,,,,
1992.25,-0.5,0.916667,-1.416667,0.416667,1.11284,3.85667,-2.74383,4.96951
1992.33,-0.625,1.14583,-1.77083,0.52083,2.02807,7.71507,-5.687,9.74314
1992.42,-0.75,1.375,-2.125,0.625,2.74326,11.5726,-8.82934,14.31586
1992.5,-0.875,1.60417,-2.47917,0.72917,3.256,15.4269,-12.1709,18.6829
1992.58,-1,1.83333,-2.83333,0.83333,3.56386,19.2751,-15.71124,22.83896
1992.67,-1.125,2.0625,-3.1875,0.9375,3.66441,23.115,-19.45059,26.77941
1992.75,-1.25,2.29167,-3.54167,1.04167,3.55523,26.9438,-23.38857,30.49903
1992.83,-1.375,2.52083,-3.89583,1.14583,3.23632,30.7616,-27.52528,33.99792
1992.92,-1.5,2.75,-4.25,1.25,2.73591,34.5681,-31.83219,37.30401
1993,-1.625,2.97917,-4.60417,1.35417,2.08222,38.3632,-36.28098,40.44542
1993.08,-1.75,3.20833,-4.95833,1.45833,1.3035,42.1465,-40.843,43.45
1993.17,-1.875,3.4375,-5.3125,1.5625,0.427966,45.9177,-45.489734,46.345666
1993.25,-2,3.66667,-5.66667,1.66667,-0.516149,49.6768,-50.192949,49.160651
1993.33,-2.125,3.89583,-6.02083,1.77083,-1.50062,53.4233,-54.92392,51.92268
1993.42,-2.25,4.125,-6.375,1.875,-2.49721,57.1571,-59.65431,54.65989
1993.5,-2.375,4.35417,-6.72917,1.97917,-3.50349,60.8808,-64.38429,57.37731
1993.58,-2.5,4.58333,-7.08333,2.08333,-4.51705,64.5967,-69.11375,60.07965
1993.67,-2.625,4.8125,-7.4375,2.1875,-5.53546,68.3076,-73.84306,62.77214
1993.75,-2.75,5.04167,-7.79167,2.29167,-6.5563,72.0159,-78.5722,65.4596
1993.83,-2.875,5.27083,-8.14583,2.39583,-7.57713,75.7243,-83.30143,68.14717
1993.92,-3,5.5,-8.5,2.5,-8.59796,79.4326,-88.03056,70.83464
1994,-3.125,5.72917,-8.85417,2.60417,-9.6188,83.141,-92.7598,73.5222
1994.08,-3.25,5.95833,-9.20833,2.70833,-10.6396,86.8493,-97.4889,76.2097
